GO_type,exp_string,GO_id,Description,GeneRatio,BgRatio,p.adjust,gene_names,l2fc
Biological process,L1_Imp,GO:0007309,oocyte axis specification,43/1159,118/9160,4.637389931980148e-10,bic/BicD/CkIIbeta/Pka-C1/chic/Chc/Khc/klar/dlg1/l(2)gl/mago/Ras85D/sog/stau/Tm1/tud/Syt1/Hrb27C/enc/14-3-3zeta/heph/Moe/Syx1A/Lis-1/Rab11/14-3-3epsilon/msps/Fmr1/Dg/DCP2/Lasp/Pka-R1/par-1/Dhc64C/aPKC/cic/cnc/scrib/sqd/lost/jvl/slmb/TER94,1.5260887373180914
Biological process,L1_Imp,GO:0051246,regulation of protein metabolic process,112/1159,481/9160,4.669362938925258e-10,CkIIbeta/Pka-C1/Hrb98DE/eIF4A/l(2)gl/pum/sgg/shi/stau/Su(dx)/mts/Ubc6/ex/svr/Hrb27C/Pabp2/brat/Rac1/Cdc42/bol/heph/msi/twin/Tis11/Rho1/bnl/Oda/sty/CkIalpha/Pi3K92E/Lis-1/apt/smg/ari-1/Lk6/Dad/Abi/eIF3h/Pka-R2/EloB/eIF4G1/tyf/par-6/wdb/eIF3j/Dp1/Fmr1/REG/Mkrn1/UbcE2H/CG1578/CG14408/Rcd-1/Ncoa6/CycY/casp/eIF3b/CNBP/Slik/CG4612/CG13928/PAN3/Larp4B/CG13705/fmt/DCP2/roq/SCCRO4/Atg17/ScsbetaA/Tctp/Paip2/CycG/Atx2/Rheb/Fsn/bchs/Ndf/4E-T/Rbfox1/Atg8a/eIF4EHP/endos/Not1/chinmo/kra/Pka-R1/wech/elav/par-1/Cul3/larp/AGO1/bin3/Unr/sqd/eIF2gamma/spoon/bru3/Sxl/orb2/how/rdx/CG44008/vih/smt3/pAbp/Patr-1/PRAS40/slmb/Cyt-c-p/TER94,0.8799288702653967
Biological process,L1_Imp,GO:0048599,oocyte development,47/1159,136/9160,4.734550091285602e-10,bic/BicD/CkIIbeta/Pka-C1/chic/Chc/Khc/klar/egh/dlg1/l(2)gl/mago/Ras85D/sog/stau/Tm1/tud/Syt1/Hrb27C/enc/14-3-3zeta/heph/Moe/Syx1A/Lis-1/Rab11/14-3-3epsilon/msps/Fmr1/Dg/DCP2/jagn/Lasp/alpha-Spec/Pka-R1/par-1/Dhc64C/aPKC/cic/cnc/scrib/sqd/lost/jvl/pAbp/slmb/TER94,1.4495930424051324
Biological process,L1_Imp,GO:0061138,morphogenesis of a branching epithelium,28/1159,58/9160,5.82091992332752e-10,arm/ed/Lam/pnt/put/Ras85D/ttk/bs/Ptp10D/hdc/Cdc42/Moe/shot/bnl/sty/CCT3/caps/foi/par-6/VhaPPA1-1/seq/Slik/Rheb/form3/rhea/aPKC/Vha26/Vha13,1.9318409589078664
Biological process,L1_Imp,GO:0051491,positive regulation of filopodium assembly,18/1159,26/9160,5.834194663983848e-10,chic/Lar/ena/hep/Rac1/Cdc42/shot/Abi/Mipp1/par-6/Rab35/cpa/sif/kra/pico/aPKC/Arp3/Flo2,2.4519523152790548
Biological process,L1_Imp,GO:0006836,neurotransmitter transport,45/1159,128/9160,6.35501727871916e-10,BicD/Chc/Csp/Syt1/Syn/Rap1/Gdi/Rab3/Cdc42/Arf79F/nSyb/Syx1A/Arf51F/CASK/unc-13/X11L/Syt4/Vap33/NFAT/Frq1/VGlut/twit/sky/Syngr/unc-13-4A/Arl8/KaiR1D/Scamp/cpx/Synd/Rim/Frq2/alphaSnap/brp/Hip14/Dys/Vmat/Sytbeta/lqfR/nej/CG43066/cac/Ih/Hsc70-4/Snap24,1.4743201283075091
Biological process,L1_Imp,GO:0048584,positive regulation of response to stimulus,112/1159,484/9160,6.835436267389086e-10,ben/Pka-C1/chic/crc/ed/ImpL2/kay/l(2)gl/RpS3/put/Ras85D/skd/sog/vn/Pp1-87B/mts/ex/Rap1/drk/tws/14-3-3zeta/Eip63E/Rac1/Cdc42/Akt1/Fkbp14/msn/dia/Dif/Ssdp/Cdc37/mtd/Rac2/Rho1/bnl/CkIalpha/Pi3K92E/Ubc4/Lis-1/Nak/Dyrk2/spen/14-3-3epsilon/lig/CtBP/eIF3h/Tnpo/Pli/RhoGAP1A/siz/par-6/wdb/nito/Akap200/lqf/Mkrn1/slpr/wcy/Tao/CG9572/Mnn1/CycY/Toll-7/Hipk/DopEcR/Uev1A/cmpy/ATP6AP2/foxo/Cow/Mtl/Kul/CycG/CG32795/Rheb/mask/Efa6/smog/akirin/Snoo/jeb/vvl/apolpp/puc/alpha-Spec/C3G/Pka-R1/Mob4/Ubr3/CG42674/nej/LanB1/aPKC/Tl/Src64B/sick/dally/Flo2/sli/Sxl/spg/rdx/Lst8/AP-2alpha/smt3/sno/ttv/slmb/InR/lola/trol/Imp,0.8709587167608442
Biological process,L1_Imp,GO:0042461,photoreceptor cell development,39/1159,102/9160,6.882978004628307e-10,ben/Cam/csw/Lar/klar/peb/pnt/Ras85D/ttk/Ten-m/Mbs/dac/Rac1/tutl/msn/Moe/sty/CadN/Lis-1/Rab11/vimar/Smyd4-4/seq/SP2353/Syn2/Slik/AP-1sigma/RhoGAP100F/Atx2/Synd/jeb/Bsg/dysc/pAbp/mbl/sno/rg/tau/lola,1.5954439088685874
Biological process,L1_Imp,GO:0070887,cellular response to chemical stimulus,105/1159,444/9160,7.406601264103757e-10,mAChR-A/ben/Cam/Pka-C1/crc/csw/Lar/E(bx)/Eip75B/fkh/gro/Hsc70-3/ImpL2/eIF4A/pnt/put/Ras85D/sesB/sgg/Sh/sog/mts/Syt1/Ptp10D/Galphaq/Rap1/drk/hep/Akt1/msn/babo/Cdc37/Iswi/msi/bnl/sty/Pi3K92E/Lis-1/Rab10/Tom40/Dad/emb/Pi3K21B/Pka-R2/CG2918/Mkk4/PRL-1/Smox/wdb/Akap200/Syt4/lqf/Fmr1/Mkrn1/CHES-1-like/slpr/Upf1/wgn/kek5/Tao/Spp/pyr/eIF1/Chd64/DopEcR/Uev1A/BI-1/Crtc/cmpy/srl/foxo/AdipoR/CycG/Rheb/wrd/Rbfox1/Mrtf/Snoo/puc/Mob4/pzg/Sytbeta/Hr39/Cul3/uex/Tl/Rab8/Myc/Src64B/dally/rdx/Hr4/Lst8/smt3/ttv/sima/Hsc70-4/Ggamma30A/Ptp61F/PRAS40/br/slmb/S6k/InR/trol,0.9022966832938513
Biological process,L1_Imp,GO:0003008,system process,114/1159,497/9160,7.973577461968909e-10,nAChRalpha1/nAChRbeta1/Appl/arm/Cam/Pka-C1/Col4a1/dnc/Fas2/Galphao/Mlc1/Mlc2/Atpalpha/Pkc98E/pum/rdgB/sgg/Sh/shi/Btk29A/stau/Tm1/vn/bs/Pp1-87B/ct/nonA/Rdl/Ptp10D/Galphaq/Gad1/Syn/pros/drk/svr/mys/14-3-3zeta/Ggamma1/Rac1/Cdc42/Nmdar1/cora/sinu/dia/Sap47/CASK/Nf1/nrv2/Dyrk2/CG1910/GluClalpha/Scgdelta/Nipped-B/Eaat1/CG4928/Tob/Fmr1/nAChRalpha5/wcy/nAChRalpha6/nrv3/Dscam1/CAP/CG4612/ITP/Chd64/DopEcR/Atg17/ATP6AP2/mura/fabp/dpr9/Nrx-1/sosie/Scamp/dpr1/Atx2/vsg/Rbfox1/Lasp/dpr12/NaCP60E/sif/kra/futsch/mnb/Pka-R1/brp/qvr/Ubr3/rdgA/Ank2/aPKC/Shab/Src64B/norpA/AGO1/Ptr/SERCA/cac/scrib/spoon/dysc/orb2/CG43778/how/CaMKII/rad/rg/kis/ebo/Ggamma30A/wupA/para,0.85825500458029
Biological process,L1_Imp,GO:0050877,nervous system process,97/1159,399/9160,8.198855562337711e-10,nAChRalpha1/nAChRbeta1/Appl/arm/Cam/Pka-C1/dnc/Fas2/Galphao/Atpalpha/Pkc98E/pum/rdgB/sgg/Sh/shi/Btk29A/stau/vn/bs/Pp1-87B/ct/nonA/Rdl/Ptp10D/Galphaq/Gad1/Syn/pros/drk/svr/mys/14-3-3zeta/Rac1/Cdc42/Nmdar1/dia/Sap47/CASK/Nf1/nrv2/Dyrk2/CG1910/GluClalpha/Nipped-B/Eaat1/Tob/Fmr1/nAChRalpha5/wcy/nAChRalpha6/nrv3/Dscam1/CAP/CG4612/DopEcR/ATP6AP2/mura/fabp/dpr9/Nrx-1/sosie/Scamp/dpr1/Atx2/vsg/Rbfox1/dpr12/NaCP60E/sif/kra/futsch/mnb/Pka-R1/brp/qvr/Ubr3/rdgA/Ank2/aPKC/Src64B/norpA/AGO1/Ptr/cac/scrib/spoon/dysc/orb2/CG43778/CaMKII/rad/rg/kis/ebo/Ggamma30A/para,0.9421349379426165
Biological process,L1_Imp,GO:0001763,morphogenesis of a branching structure,28/1159,59/9160,9.289539605903323e-10,arm/ed/Lam/pnt/put/Ras85D/ttk/bs/Ptp10D/hdc/Cdc42/Moe/shot/bnl/sty/CCT3/caps/foi/par-6/VhaPPA1-1/seq/Slik/Rheb/form3/rhea/aPKC/Vha26/Vha13,1.9071789046735974
Biological process,L1_Imp,GO:0060560,developmental growth involved in morphogenesis,38/1159,99/9160,1.0373616006261008e-9,arm/Pka-C1/chic/Lar/dnc/kay/Sh/sqh/ttk/alphaTub85E/mys/hep/Rac1/Cdc42/Sema1a/Sema2a/shot/Rab5/Rac2/Rho1/bif/CadN/Rab11/Vang/fz2/Dad/Abi/Fmr1/slpr/scaf/Dscam1/Toll-6/Mtl/RhoGAP100F/alphaSnap/Ank2/Nrg/Frl,1.6010379253418106
Biological process,L1_Imp,GO:0009967,positive regulation of signal transduction,95/1159,390/9160,1.1477320221078758e-9,ben/Pka-C1/crc/ed/ImpL2/l(2)gl/RpS3/put/Ras85D/skd/sog/vn/Pp1-87B/mts/ex/Rap1/drk/tws/14-3-3zeta/Eip63E/Rac1/Cdc42/Akt1/Fkbp14/msn/Ssdp/Cdc37/CkIalpha/Pi3K92E/Ubc4/Lis-1/Nak/Dyrk2/spen/14-3-3epsilon/lig/CtBP/eIF3h/Tnpo/Pli/RhoGAP1A/siz/par-6/wdb/nito/Akap200/lqf/Mkrn1/slpr/wcy/Tao/CG9572/Mnn1/CycY/Hipk/DopEcR/Uev1A/cmpy/ATP6AP2/foxo/Cow/Kul/CycG/Rheb/mask/Efa6/akirin/Snoo/jeb/apolpp/alpha-Spec/C3G/Pka-R1/Mob4/Ubr3/CG42674/nej/aPKC/Src64B/sick/dally/Flo2/Sxl/spg/rdx/Lst8/AP-2alpha/smt3/sno/ttv/slmb/InR/lola/trol/Imp,0.9449923265591715
Biological process,L1_Imp,GO:0060284,regulation of cell development,52/1159,163/9160,1.19274408283024e-9,chic/csw/ed/Fas2/l(2)gl/numb/pnt/sd/mts/unk/pros/tws/Mbs/hdc/brat/Rac1/Arf79F/Sema1a/Sema2a/babo/Cdc37/ctp/shot/bif/sty/Pi3K92E/CadN/Lis-1/Vang/ari-1/PlexA/Smox/Fmr1/Mkrn1/pyr/nudE/Sar1/Rheb/mask/sif/bun/Mob4/zld/Antp/Dhc64C/aPKC/Myc/pAbp/slmb/InR/trol/Rab1,1.3341785958878492
Biological process,L1_Imp,GO:0032535,regulation of cellular component size,53/1159,168/9160,1.2454905101984187e-9,chic/Lar/Lam/Myb/Ras85D/shi/Btk29A/drk/svr/Rac1/Cdc42/Akt1/dia/Sema1a/Sema2a/cpb/shot/bif/Pi3K92E/CadN/Rbf/Vang/Pi3K21B/WASp/RhoGAP1A/Cortactin/RhoGAPp190/Nipped-B/Kank/Fmr1/GMF/CG10413/cpa/Cip4/Tctp/foxo/conu/Atx2/Rheb/IRSp53/Lasp/tmod/Desat1/chinmo/flr/pico/Myc/Src64B/nwk/spoon/Lst8/S6k/InR,1.3180700637622735
Biological process,L1_Imp,GO:0016331,morphogenesis of embryonic epithelium,42/1159,117/9160,1.2500481846509812e-9,arm/Col4a1/chic/ed/emc/ena/fog/kay/dlg1/l(2)gl/peb/put/Ras85D/Btk29A/Rap1/mys/Ggamma1/Mbs/Lac/hep/Rac1/Cdc42/cora/sinu/msn/shot/Rab5/Rac2/Rho1/Rab11/par-6/Inx2/slpr/scaf/Mtl/alph/puc/aPKC/scrib/smash/Mcr/Pak,1.5044197351731903
Biological process,L1_Imp,GO:0044089,positive regulation of cellular component biogenesis,45/1159,131/9160,1.4430102307919214e-9,chic/Lar/ena/dlg1/Lam/shi/stau/svr/hep/Rac1/Cdc42/Sdc/dia/cpb/nmo/shot/Pi3K92E/Abi/Mipp1/par-6/msps/Tob/seq/Rab35/cpa/Synj/Cals/Atx2/Rheb/Pak3/Jupiter/IRSp53/Synd/sif/chinmo/kra/mnb/Ank2/pico/aPKC/Arp3/cac/Flo2/Pak/slmb,1.440897126770059
Biological process,L1_Imp,GO:0046903,secretion,66/1159,234/9160,1.5021735517863736e-9,BicD/Chc/l(2)gl/S/Csp/Syt1/Syn/Rap1/Gdi/Rab3/Cdc42/Arf79F/Akt1/dia/Sep1/nSyb/Syx1A/Arf51F/CASK/Rab10/Rab11/Rab7/unc-13/X11L/Syt4/Vap33/NFAT/Frq1/Rab35/IA-2/Dh31/twit/sky/Syngr/ITP/unc-13-4A/cmpy/jagn/Arl8/KaiR1D/Sar1/AdipoR/Scamp/cpx/Synd/Rim/Frq2/Tpst/puc/alphaSnap/brp/Hip14/Sep4/Dys/Sytbeta/lqfR/nej/Rab8/cac/Ih/Flo2/Hsc70-4/Snap24/unc-104/InR/Rab1,1.1564964317528836
Biological process,L1_Imp,GO:0032940,secretion by cell,63/1159,219/9160,1.6315178389565744e-9,BicD/Chc/l(2)gl/S/Csp/Syt1/Syn/Rap1/Gdi/Rab3/Cdc42/Arf79F/Akt1/dia/Sep1/nSyb/Syx1A/Arf51F/CASK/Rab10/Rab11/Rab7/unc-13/X11L/Syt4/Vap33/NFAT/Frq1/Rab35/twit/sky/Syngr/unc-13-4A/cmpy/jagn/Arl8/KaiR1D/Sar1/AdipoR/Scamp/cpx/Synd/Rim/Frq2/Tpst/puc/alphaSnap/brp/Hip14/Sep4/Dys/Sytbeta/lqfR/nej/Rab8/cac/Ih/Flo2/Hsc70-4/Snap24/unc-104/InR/Rab1,1.1849598958765777
Biological process,L1_Imp,GO:0097305,response to alcohol,42/1159,118/9160,1.6695992876975757e-9,Cam/Pka-C1/dnc/E(bx)/Eip75B/Fas2/fkh/dlg1/l(2)gl/Pkc98E/pum/S/Syn/Nmdar1/Iswi/AcCoAS/Arf51F/CASK/apt/Pka-R2/moody/hang/Akap200/slpr/Clic/Tao/Bacc/DopEcR/Tat/mura/dpr9/Idh3b/vsg/Efa6/kra/Pka-R1/pzg/Trf2/bel/Hr4/Pak/br,1.4921414053947535
Biological process,L1_Imp,GO:0009798,axis specification,56/1159,184/9160,1.6740485162667493e-9,bic/BicD/cact/CkIIbeta/Pka-C1/chic/Chc/csw/Khc/klar/dlg1/l(2)gl/mago/Pkc98E/pum/Ras85D/sog/stau/Tm1/tud/Syt1/fs(1)h/Hrb27C/enc/14-3-3zeta/heph/Moe/Syx1A/sty/Lis-1/rin/Rab11/14-3-3epsilon/lig/msps/Fmr1/Mkrn1/Rab35/Dg/DCP2/Lasp/Pka-R1/Antp/par-1/Dhc64C/aPKC/Tl/cic/cnc/scrib/sqd/lost/jvl/spoon/slmb/TER94,1.2662599979784257
Biological process,L1_Imp,GO:0007264,small GTPase mediated signal transduction,51/1159,160/9160,1.7977171085294532e-9,Ras85D/Ras64B/Pp1-87B/Rap1/drk/Gdi/14-3-3zeta/Rab3/Rac1/Cdc42/Arf79F/Rab5/Rac2/Rho1/sty/Nf1/Rala/Rab10/Rab11/Rab7/14-3-3epsilon/ArfGAP1/PlexA/RhoGAP1A/siz/RhoGAPp190/Rab35/RhoGAP19D/CG5522/RhoGAP71E/RhoGDI/CG8500/Mtl/RhoGAP100F/conu/Rheb/Efa6/Epac/sif/alph/C3G/Mob4/Ziz/CG42674/Rab8/spg/RapGAP1/smt3/rad/Ric/Rab1,1.3329642790619678
Biological process,L1_Imp,GO:0045216,cell-cell junction organization,33/1159,80/9160,1.8540939282112934e-9,arm/Galphao/dlg1/l(2)gl/Atpalpha/shi/Rap1/Lac/Rac1/cora/sinu/pck/Rac2/Rho1/nrv2/Rab11/moody/par-6/cold/Cip4/CG13704/Ssk/M6/pasi1/mesh/shakB/Nost/aPKC/Src64B/scrib/Nrg/Mcr/Pak,1.7049330564489256
Biological process,L1_Imp,GO:0051146,striated muscle cell differentiation,33/1159,80/9160,1.8540939282112934e-9,Col4a1/Actn/Mlc2/Mp20/Prm/sd/mys/Rac1/dia/CalpA/Arf51F/Rac2/Rho1/Mlp84B/WASp/Scgdelta/siz/Dg/Zasp66/Pax/mask/Pak3/Lasp/sls/C3G/flr/rhea/LanB1/Bsg/Arp3/hts/how/wupA,1.7049330564489256
Biological process,L1_Imp,GO:0051248,negative regulation of protein metabolic process,53/1159,170/9160,1.929867150407609e-9,l(2)gl/pum/sgg/shi/mts/svr/Hrb27C/Pabp2/brat/heph/msi/twin/Tis11/sty/apt/smg/Dad/eIF3h/Pka-R2/par-6/wdb/Fmr1/CG14408/Rcd-1/casp/CG13928/PAN3/Larp4B/CG13705/DCP2/roq/SCCRO4/Paip2/4E-T/Rbfox1/eIF4EHP/endos/Not1/chinmo/kra/Pka-R1/wech/elav/AGO1/bin3/Unr/sqd/bru3/Sxl/orb2/CG44008/Patr-1/PRAS40,1.3009965504033318
Biological process,L1_Imp,GO:0009719,response to endogenous stimulus,67/1159,241/9160,2.0608521329847763e-9,csw/Lar/E(bx)/Eip75B/fkh/gro/ImpL2/eIF4A/pnt/put/Ras85D/sgg/Sh/sl/sog/mts/Ptp10D/Galphaq/Rap1/drk/Akt1/Cdc37/Iswi/bnl/sty/Pi3K92E/Lis-1/Rab10/Dad/Pi3K21B/Smox/wdb/lqf/Fmr1/Mkrn1/kek5/Tao/pyr/Chd64/Crtc/cmpy/srl/foxo/AdipoR/CycG/Rheb/wrd/Snoo/Mob4/pzg/Hr39/Tl/Rab8/Myc/Src64B/dally/Hr4/Lst8/smt3/ttv/sima/Ptp61F/PRAS40/slmb/S6k/InR/trol,1.1356668862056454
Biological process,L1_Imp,GO:0071495,cellular response to endogenous stimulus,66/1159,236/9160,2.136796608017611e-9,csw/Lar/E(bx)/Eip75B/fkh/gro/ImpL2/eIF4A/pnt/put/Ras85D/sgg/Sh/sog/mts/Ptp10D/Galphaq/Rap1/drk/Akt1/Cdc37/Iswi/bnl/sty/Pi3K92E/Lis-1/Rab10/Dad/Pi3K21B/Smox/wdb/lqf/Fmr1/Mkrn1/kek5/Tao/pyr/Chd64/Crtc/cmpy/srl/foxo/AdipoR/CycG/Rheb/wrd/Snoo/Mob4/pzg/Hr39/Tl/Rab8/Myc/Src64B/dally/Hr4/Lst8/smt3/ttv/sima/Ptp61F/PRAS40/slmb/S6k/InR/trol,1.1442181019744468
Biological process,L1_Imp,GO:0055001,muscle cell development,28/1159,61/9160,2.266692074785067e-9,Col4a1/Actn/Mlc2/pnt/Prm/sd/mys/Rac1/dia/sty/Mlp84B/Scgdelta/Dg/Zasp66/mask/Lasp/sls/C3G/Dys/flr/rhea/LanB1/Bsg/hts/how/wap/br/wupA,1.8590846164725523
Biological process,L1_Imp,GO:0030334,regulation of cell migration,34/1159,85/9160,2.5766778130172312e-9,ena/kay/Catsup/peb/sl/sqh/ttk/vn/mys/Hrb27C/ple/hep/Rac1/Akt1/msn/Sema1a/Sema2a/Rho1/bnl/Pi3K92E/Sin3A/PlexA/Dscam1/Uev1A/Kat60/puc/par-1/Evi5/sli/sima/kis/slmb/InR/Rab1,1.6605389370904722
Biological process,L1_Imp,GO:0001738,morphogenesis of a polarized epithelium,37/1159,98/9160,2.9265171157093926e-9,ed/Galphao/kay/dlg1/peb/pnt/Ras85D/S/shi/Rap1/Rac1/Cdc42/Wnt4/nmo/Rho1/sty/Rala/CadN/rin/Vang/spen/Abi/par-6/jbug/sano/Hipk/ATP6AP2/Mtl/kmr/flr/par-1/nej/Dhc64C/aPKC/scrib/Frl/lola,1.5772105534915761
Biological process,L1_Imp,GO:0051962,positive regulation of nervous system development,39/1159,107/9160,3.2342202938317383e-9,chic/dlg1/stau/pros/Rac1/Sdc/babo/cpb/Cdc37/nmo/shot/Pi3K92E/Lis-1/Vang/ari-1/PlexA/Smox/Fmr1/pyr/nudE/Sar1/Cals/Rheb/Pak3/Synd/sif/mnb/bun/Mob4/zld/Ank2/aPKC/Myc/Arp3/cac/Pak/InR/trol/Rab1,1.526402264438936
Biological process,L1_Imp,GO:0072583,clathrin-dependent endocytosis,18/1159,28/9160,3.2449504799952715e-9,BicD/shi/Syt1/Rab5/Lis-1/Nak/Rab7/WASp/lqf/Synj/aux/CG8176/EndoA/lap/fwe/norpA/AP-2mu/AP-2alpha,2.345037111362543
Biological process,L1_Imp,GO:0000226,microtubule cytoskeleton organization,80/1159,314/9160,3.5463518889623948e-9,BicD/Cam/Pka-C1/Chc/Khc/klar/egh/dlg1/l(2)gl/Lam/Map205/mago/Myb/sgg/alphaTub84B/alphaTub85E/Pp1-87B/mts/fwd/Ubc6/Ten-m/tws/14-3-3zeta/dia/heph/Moe/ctp/shot/Lis-1/Rab11/Khc-73/14-3-3epsilon/Ran/emb/WASp/par-6/CCT6/wdb/msps/Fmr1/Vap33/pigs/Klp10A/Dlic/Nop17l/Slik/nudE/ssp2/CG17816/pins/Kat60/bchs/CG30069/Efa6/Jupiter/Synd/alpha-Spec/futsch/Pka-R1/Mob4/par-1/larp/brun/Ank2/Dhc64C/Msp300/aPKC/cnc/hts/sqd/jvl/orb2/ens/smt3/tau/sau/vib/slmb/TER94/SRPK,1.00977437797357
Biological process,L1_Imp,GO:0051046,regulation of secretion,35/1159,91/9160,4.885818395515532e-9,BicD/l(2)gl/S/Syt1/Rap1/Rab3/Cdc42/Akt1/Sep1/Syx1A/CASK/Rab10/Syt4/NFAT/Frq1/IA-2/twit/sky/ITP/cmpy/KaiR1D/AdipoR/cpx/Frq2/Hip14/Sep4/Dys/Sytbeta/Rab8/cac/Ih/Flo2/unc-104/InR/Rab1,1.6039554087241048
Biological process,L1_Imp,GO:0009792,embryo development ending in birth or egg hatching,52/1159,170/9160,5.921467078835981e-9,arm/bic/Col4a1/chic/ed/emc/ena/kay/dlg1/l(2)gl/peb/pum/put/Ras85D/sgg/Btk29A/sqh/zfh1/Rap1/mys/Ggamma1/Mbs/Eip63E/hep/Rac1/Cdc42/cora/sinu/msn/dia/shot/Deaf1/Rab5/Rac2/Rho1/Rab11/lolal/Cdc7/slpr/scaf/chrb/Mtl/scyl/alph/puc/elav/rhea/Arp3/scrib/Mcr/Pak/InR,1.2735158139812248
Biological process,L1_Imp,GO:2000145,regulation of cell motility,34/1159,88/9160,7.496512765158743e-9,ena/kay/Catsup/peb/sl/sqh/ttk/vn/mys/Hrb27C/ple/hep/Rac1/Akt1/msn/Sema1a/Sema2a/Rho1/bnl/Pi3K92E/Sin3A/PlexA/Dscam1/Uev1A/Kat60/puc/par-1/Evi5/sli/sima/kis/slmb/InR/Rab1,1.6104982545908766
Biological process,L1_Imp,GO:0007626,locomotory behavior,54/1159,181/9160,7.540137354542269e-9,ben/CkIIbeta/Fas2/kay/Khc/dlg1/Lam/Atpalpha/sgg/Sh/slgA/Pp1-87B/Syt1/Galphaq/Gad1/Plc21C/Mbs/ple/Rac1/tutl/Sema2a/CalpA/CASK/Rho1/Fer2LCH/Nf1/Pka-R2/tyf/Eaat1/beta4GalNAcTA/Fmr1/CG6123/lid/ITP/foxo/Ktl/Atx2/shep/Mid1/shakB/brp/tay/Cul3/nej/Shab/norpA/SERCA/cac/Ih/dysc/ebo/unc-104/slmb/InR,1.2375086470580978
Biological process,L1_Imp,GO:0008298,intracellular mRNA localization,30/1159,72/9160,8.946854661410409e-9,bic/BicD/CkIIbeta/Pka-C1/chic/Chc/Khc/klar/l(2)gl/mago/stau/Tm1/tud/Syt1/Hrb27C/enc/Syx1A/Lis-1/Rab11/msps/DCP2/Lasp/par-1/Dhc64C/aPKC/cnc/sqd/lost/jvl/TER94,1.7194326261440405
Biological process,L1_Imp,GO:0046843,dorsal appendage formation,25/1159,53/9160,1.0063389640995193e-8,cact/ed/emc/Khc/S/shi/ttk/hep/Rac1/Cdc42/Rac2/Lis-1/lama/slpr/Pax/mask/puc/bun/Ppcs/cic/jvl/spoon/smt3/br/slmb,1.8984027671893602
Biological process,L1_Imp,GO:0048488,synaptic vesicle endocytosis,21/1159,39/9160,1.0322343049708631e-8,BicD/shi/Syt1/brat/Arf79F/Arf51F/CASK/Rab5/Rab11/stnB/stnA/Synj/Eps-15/EndoA/Nrx-1/Synd/lap/mnb/lqfR/fwe/AP-2alpha,2.089382235894347
Biological process,L1_Imp,GO:0140238,presynaptic endocytosis,21/1159,39/9160,1.0322343049708631e-8,BicD/shi/Syt1/brat/Arf79F/Arf51F/CASK/Rab5/Rab11/stnB/stnA/Synj/Eps-15/EndoA/Nrx-1/Synd/lap/mnb/lqfR/fwe/AP-2alpha,2.089382235894347
Biological process,L1_Imp,GO:0008283,cell population proliferation,76/1159,299/9160,1.086168515526937e-8,Gbeta13F/hth/l(2)gl/Lam/Myb/numb/Pkc98E/pnt/Ras85D/S/sd/vn/mts/ex/pros/ci/enc/tws/Ggamma1/Rbp9/brat/Rac1/Cdc42/Akt1/Wnt4/Dif/babo/Cdc37/Moe/E2f1/mtd/Rab5/Rho1/bnl/Pi3K92E/Lis-1/Rbf/fz2/dom/Pi3K21B/Sin3A/flfl/Smox/par-6/Inx2/msps/Fmr1/Pdcd4/Mnn1/pyr/Mlf/clu/Slik/foxo/conu/pins/Rheb/vsg/sls/alpha-Spec/bun/Mob4/zld/Cul3/Dhc64C/aPKC/Tl/AGO1/scrib/hts/cpo/Sxl/Ptp61F/slmb/InR/trol,1.006392871223315
Biological process,L1_Imp,GO:0060491,regulation of cell projection assembly,23/1159,46/9160,1.097245991793144e-8,chic/Lar/ena/Tm1/hep/Rac1/Cdc42/dia/cpb/shot/Rho1/Abi/Mipp1/par-6/Rab35/cpa/sif/kra/pico/aPKC/Arp3/Flo2/CaMKII,1.9824670319778344
Biological process,L1_Imp,GO:0120032,regulation of plasma membrane bounded cell projection assembly,23/1159,46/9160,1.097245991793144e-8,chic/Lar/ena/Tm1/hep/Rac1/Cdc42/dia/cpb/shot/Rho1/Abi/Mipp1/par-6/Rab35/cpa/sif/kra/pico/aPKC/Arp3/Flo2/CaMKII,1.9824670319778344
Biological process,L1_Imp,GO:0001700,embryonic development via the syncytial blastoderm,50/1159,163/9160,1.097245991793144e-8,arm/bic/Col4a1/chic/ed/emc/ena/kay/dlg1/l(2)gl/peb/pum/put/Ras85D/sgg/Btk29A/sqh/zfh1/Rap1/mys/Ggamma1/Mbs/Eip63E/hep/Rac1/Cdc42/cora/sinu/msn/dia/shot/Rab5/Rac2/Rho1/Rab11/lolal/Cdc7/slpr/scaf/chrb/Mtl/scyl/alph/puc/rhea/Arp3/scrib/Mcr/Pak/InR,1.2775950675214818
Biological process,L1_Imp,GO:0030010,establishment of cell polarity,26/1159,57/9160,1.1106799234520436e-8,Gbeta13F/dlg1/l(2)gl/sgg/mts/Ggamma1/Rac1/Cdc42/ctp/Lis-1/Khc-73/Ran/par-6/msps/Klp10A/Dg/Slik/nudE/sff/pins/smog/Dys/Dhc64C/aPKC/scrib/slmb,1.850016735954185
Biological process,L1_Imp,GO:0007028,cytoplasm organization,30/1159,73/9160,1.2783128032374321e-8,bic/Pka-C1/chic/Chc/Khc/klar/dlg1/mago/shi/stau/Tm1/tud/Syt1/Hrb27C/enc/Moe/Syx1A/Rab5/Lis-1/Rab11/Rab7/DCP2/jagn/Lasp/par-1/cnc/scrib/sqd/lost/TER94,1.6995330687063357
