gene_id,combined_patterns,ALNB_clusters,T2NB_clusters,MBNB_clusters,gene_name,temporal_group,imp_target,syp_target,RBP target,cluster_id,Cluster profile,cluster_code,gene_biotype
FBgn0037153,Mid-peaks;Peak-1;NA,Mid-peaks,Peak-1,NA,olf413,early,TRUE,FALSE,Imp target only,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0037205,Up-regulated;NA;NA,Up-regulated,NA,NA,BoYb,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0037249,Peak-2;Peak-2;NA,Peak-2,Peak-2,NA,eIF3a,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0037270,Peak-2;NA;NA,Peak-2,NA,NA,eIF3f1,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0037315,Peak-3;NA;NA,Peak-3,NA,NA,Cerk,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0037328,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpL35A,early,FALSE,TRUE,Syp target only,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0037342,Up-regulated;Up-regulated;NA,Up-regulated,Up-regulated,NA,CG2931,late,FALSE,TRUE,Syp target only,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0037351,Peak-2;Peak-1;Down-regulated,Peak-2,Peak-1,Down-regulated,RpL13A,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0037376,Peak-2;NA;NA,Peak-2,NA,NA,Hat1,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0037379,Peak-2;NA;NA,Peak-2,NA,NA,CG10979,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0037481,Up-regulated;NA;NA,Up-regulated,NA,NA,MAGE,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0037643,Peak-2;Down-regulated;Down-regulated,Peak-2,Down-regulated,Down-regulated,ScsbetaA,early,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0037655,Up-regulated;NA;NA,Up-regulated,NA,NA,Kcmf1,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0037656,Up-regulated;NA;NA,Up-regulated,NA,NA,CG11986,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0037686,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpL34b,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0037780,Peak-2;NA;NA,Peak-2,NA,NA,ohgt,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0037933,Peak-2;NA;NA,Peak-2,NA,NA,Ho,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0038065,Up-regulated;NA;NA,Up-regulated,NA,NA,Snx3,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0038107,Up-regulated;NA;NA,Up-regulated,NA,NA,CG17327,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0038149,Peak-3;NA;NA,Peak-3,NA,NA,GILT1,late,FALSE,TRUE,Syp target only,Cluster V,Peak at L2 Syp,Peak_L2Syp,protein_coding
FBgn0038208,Peak-1;NA;NA,Peak-1,NA,NA,CG14355,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0038274,Up-regulated;NA;NA,Up-regulated,NA,NA,Nup93-2,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0038453,Up-regulated;Up-regulated;Up-regulated,Up-regulated,Up-regulated,Up-regulated,Arl6IP1,late,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0038476,Up-regulated;Up-regulated;NA,Up-regulated,Up-regulated,NA,kuk,late,FALSE,TRUE,Syp target only,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0038564,Up-regulated;NA;NA,Up-regulated,NA,NA,CG7785,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0038649,Mid-peaks;NA;NA,Mid-peaks,NA,NA,CG7718,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0038649,Mid-peaks;NA;NA,Mid-peaks,NA,NA,CG7718,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0038662,Up-regulated;Up-regulated;NA,Up-regulated,Up-regulated,NA,Mpc1,late,TRUE,TRUE,Co-target,Cluster V,Peak at L2 Syp,Peak_L2Syp,protein_coding
FBgn0038722,Up-regulated;Up-regulated;NA,Up-regulated,Up-regulated,NA,Nup58,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0038826,Up-regulated;Up-regulated;Up-regulated,Up-regulated,Up-regulated,Up-regulated,Syp,late,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0038834,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpS30,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0038842,Peak-2;Up-regulated;Peak-1,Peak-2,Up-regulated,Peak-1,hdly,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0038876,Up-regulated;Up-regulated;NA,Up-regulated,Up-regulated,NA,Idi,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0038947,Up-regulated;NA;NA,Up-regulated,NA,NA,Sar1,late,TRUE,TRUE,Co-target,Cluster I,Higher Imp binding,High_Imp,protein_coding
FBgn0038984,Up-regulated;NA;NA,Up-regulated,NA,NA,AdipoR,late,TRUE,TRUE,Co-target,NA,N/A,NA,NA
FBgn0039135,Peak-2;NA;NA,Peak-2,NA,NA,CG13603,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0039156,Peak-2;NA;NA,Peak-2,NA,NA,CG6178,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0039160,Up-regulated;Up-regulated;NA,Up-regulated,Up-regulated,NA,CG5510,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0039207,Down-regulated;NA;Down-regulated,Down-regulated,NA,Down-regulated,CG5789,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0039215,Up-regulated;Up-regulated;NA,Up-regulated,Up-regulated,NA,CG6695,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0039282,Peak-1;NA;NA,Peak-1,NA,NA,Bili,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0039359,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpL27,early,TRUE,TRUE,Co-target,NA,N/A,NA,NA
FBgn0039430,Down-regulated;NA;Down-regulated,Down-regulated,NA,Down-regulated,CG5455,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0039431,Mid-peaks;Down-regulated;Peak-2,Mid-peaks,Down-regulated,Peak-2,plum,early,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0039487,Up-regulated;Up-regulated;NA,Up-regulated,Up-regulated,NA,gb,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0039537,Peak-2;NA;NA,Peak-2,NA,NA,CG5590,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0039594,Peak-3;Up-regulated;NA,Peak-3,Up-regulated,NA,snu,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0039687,Peak-2;NA;NA,Peak-2,NA,NA,Naa40,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0039713,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpS8,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0039757,Peak-1;Down-regulated;NA,Peak-1,Down-regulated,NA,RpS7,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0039804,Mid-peaks;NA;Peak-1,Mid-peaks,NA,Peak-1,CG15544,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0039844,Peak-2;Down-regulated;Peak-3,Peak-2,Down-regulated,Peak-3,CG1607,early,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0039857,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpL6,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0039875,Up-regulated;NA;NA,Up-regulated,NA,NA,sip3,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0039883,Down-regulated;NA;NA,Down-regulated,NA,NA,RhoGAP100F,early,TRUE,FALSE,Imp target only,Cluster I,Higher Imp binding,High_Imp,protein_coding
FBgn0039907,Peak-1;Down-regulated;NA,Peak-1,Down-regulated,NA,lgs,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0039908,Peak-1;NA;NA,Peak-1,NA,NA,Asator,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0039920,Peak-1;NA;V3-regulated,Peak-1,NA,V3-regulated,CG11360,early,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0039946,Peak-2;NA;NA,Peak-2,NA,NA,ATbp,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0039955,Down-regulated;Peak-1;Peak-1,Down-regulated,Peak-1,Peak-1,CG41099,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0040007,Peak-2;NA;NA,Peak-2,NA,NA,RpL38,early,FALSE,TRUE,Syp target only,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0040010,Up-regulated;Up-regulated;NA,Up-regulated,Up-regulated,NA,CG17493,late,FALSE,TRUE,Syp target only,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0040011,Up-regulated;NA;NA,Up-regulated,NA,NA,Slmap,late,FALSE,TRUE,Syp target only,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0040056,Peak-1;NA;NA,Peak-1,NA,NA,CG17698,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0040064,Up-regulated;NA;NA,Up-regulated,NA,NA,yip2,late,FALSE,TRUE,Syp target only,Cluster V,Peak at L2 Syp,Peak_L2Syp,protein_coding
FBgn0040228,Peak-2;NA;NA,Peak-2,NA,NA,DCTN5-p25,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0040318,Up-regulated;NA;NA,Up-regulated,NA,NA,HGTX,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0040366,Up-regulated;NA;NA,Up-regulated,NA,NA,CG11398,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0040512,Peak-2;NA;NA,Peak-2,NA,NA,zetaCOP,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0040752,Down-regulated;Down-regulated;Down-regulated,Down-regulated,Down-regulated,Down-regulated,Prosap,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0041092,Mid-peaks;Down-regulated;NA,Mid-peaks,Down-regulated,NA,tai,early,FALSE,TRUE,Syp target only,Cluster V,Peak at L2 Syp,Peak_L2Syp,protein_coding
FBgn0041094,Peak-3;Down-regulated;Down-regulated,Peak-3,Down-regulated,Down-regulated,scyl,early,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0041160,Peak-1;NA;NA,Peak-1,NA,NA,comm2,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0041171,Up-regulated;Up-regulated;NA,Up-regulated,Up-regulated,NA,ago,late,FALSE,TRUE,Syp target only,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0041337,Peak-1;NA;NA,Peak-1,NA,NA,Cyp309a2,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0041604,Peak-3;NA;Down-regulated,Peak-3,NA,Down-regulated,dlp,early,FALSE,TRUE,Syp target only,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0042135,Down-regulated;NA;NA,Down-regulated,NA,NA,Gdap2,early,TRUE,FALSE,Imp target only,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0042182,Peak-1;NA;NA,Peak-1,NA,NA,CG18749,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0043001,Up-regulated;NA;Up-regulated,Up-regulated,NA,Up-regulated,Chrac-16,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0043884,Down-regulated;NA;NA,Down-regulated,NA,NA,mask,early,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0045800,Peak-1;NA;NA,Peak-1,NA,NA,Uhg1,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0045823,Down-regulated;Down-regulated;Down-regulated,Down-regulated,Down-regulated,Down-regulated,vsg,early,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0045842,Down-regulated;NA;NA,Down-regulated,NA,NA,yuri,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0045866,Peak-2;NA;NA,Peak-2,NA,NA,bai,early,FALSE,TRUE,Syp target only,Cluster V,Peak at L2 Syp,Peak_L2Syp,protein_coding
FBgn0046706,V2-regulated;NA;Peak-3,V2-regulated,NA,Peak-3,Haspin,late,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0050022,Up-regulated;NA;NA,Up-regulated,NA,NA,CG30022,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0050035,Up-regulated;NA;Peak-2,Up-regulated,NA,Peak-2,Tret1-1,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0050055,Fluctuating;NA;Down-regulated,Fluctuating,NA,Down-regulated,lncRNA:CR30055,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0050089,Peak-3;NA;NA,Peak-3,NA,NA,CG30089,late,TRUE,FALSE,Imp target only,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0050372,Down-regulated;NA;NA,Down-regulated,NA,NA,Asap,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0050419,Peak-2;NA;Peak-1,Peak-2,NA,Peak-1,CG30419,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0050481,Up-regulated;NA;NA,Up-regulated,NA,NA,mRpL53,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0051029,Peak-3;NA;NA,Peak-3,NA,NA,CG31029,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0051109,Peak-2;NA;NA,Peak-2,NA,NA,CG31109,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0051155,Peak-2;NA;NA,Peak-2,NA,NA,Rpb7,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0051352,Down-regulated;Peak-1;NA,Down-regulated,Peak-1,NA,Unc-115a,early,TRUE,TRUE,Co-target,NA,N/A,NA,NA
FBgn0051361,Mid-peaks;NA;NA,Mid-peaks,NA,NA,dpr17,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0051361,Mid-peaks;NA;NA,Mid-peaks,NA,NA,dpr17,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0051363,V2-regulated;Down-regulated;NA,V2-regulated,Down-regulated,NA,Jupiter,early,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0051386,Mid-peaks;Peak-2;Peak-1,Mid-peaks,Peak-2,Peak-1,lncRNA:CR31386,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0051611,Peak-2;NA;NA,Peak-2,NA,NA,His4:CG31611,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0051658,Peak-2;NA;NA,Peak-2,NA,NA,Nnf1b,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0051660,Down-regulated;Peak-1;Down-regulated,Down-regulated,Peak-1,Down-regulated,smog,early,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0051673,Down-regulated;NA;NA,Down-regulated,NA,NA,CG31673,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0051690,Peak-1;Peak-3;NA,Peak-1,Peak-3,NA,CG31690,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0051721,Peak-3;NA;Peak-1,Peak-3,NA,Peak-1,Trim9,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0051973,Up-regulated;Up-regulated;NA,Up-regulated,Up-regulated,NA,Cda5,late,FALSE,TRUE,Syp target only,Cluster V,Peak at L2 Syp,Peak_L2Syp,protein_coding
FBgn0052036,Peak-1;NA;NA,Peak-1,NA,NA,CG32036,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0052251,Peak-2;NA;NA,Peak-2,NA,NA,Claspin,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0052369,Down-regulated;NA;Peak-1,Down-regulated,NA,Peak-1,CG32369,early,TRUE,TRUE,Co-target,Cluster I,Higher Imp binding,High_Imp,protein_coding
FBgn0052479,Down-regulated;Peak-1;NA,Down-regulated,Peak-1,NA,Usp10,early,TRUE,TRUE,Co-target,NA,N/A,NA,NA
FBgn0052625,Peak-3;NA;NA,Peak-3,NA,NA,CG32625,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0053147,Peak-2;Peak-3;NA,Peak-2,Peak-3,NA,Hs3st-A,late,TRUE,FALSE,Imp target only,Cluster I,Higher Imp binding,High_Imp,protein_coding
FBgn0053155,Up-regulated;NA;NA,Up-regulated,NA,NA,CG33155,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0053202,Peak-1;NA;NA,Peak-1,NA,NA,dpr11,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0053222,Peak-2;NA;NA,Peak-2,NA,NA,CR33222,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,pseudogene
FBgn0053494,Up-regulated;Up-regulated;Up-regulated,Up-regulated,Up-regulated,Up-regulated,CG33494,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0053531,Peak-2;NA;NA,Peak-2,NA,NA,Ddr,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0053554,Peak-1;Down-regulated;NA,Peak-1,Down-regulated,NA,Nipped-A,early,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0053653,Peak-1;NA;NA,Peak-1,NA,NA,Cadps,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0053871,Peak-3;NA;NA,Peak-3,NA,NA,His4:CG33871,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0053873,Peak-3;NA;NA,Peak-3,NA,NA,His4:CG33873,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0053875,Peak-3;NA;NA,Peak-3,NA,NA,His4:CG33875,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0053883,Peak-2;NA;NA,Peak-2,NA,NA,His4:CG33883,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0053885,Peak-2;NA;NA,Peak-2,NA,NA,His4:CG33885,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0053887,Peak-2;NA;NA,Peak-2,NA,NA,His4:CG33887,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0053889,Peak-2;NA;NA,Peak-2,NA,NA,His4:CG33889,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0053891,Peak-2;NA;NA,Peak-2,NA,NA,His4:CG33891,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0053893,Peak-2;NA;NA,Peak-2,NA,NA,His4:CG33893,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0053895,Peak-2;NA;NA,Peak-2,NA,NA,His4:CG33895,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0053897,Peak-2;NA;NA,Peak-2,NA,NA,His4:CG33897,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0053899,Peak-2;NA;NA,Peak-2,NA,NA,His4:CG33899,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0053901,Peak-2;NA;NA,Peak-2,NA,NA,His4:CG33901,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0053903,Peak-2;NA;NA,Peak-2,NA,NA,His4:CG33903,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0053905,Peak-2;NA;NA,Peak-2,NA,NA,His4:CG33905,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0053909,Peak-2;NA;NA,Peak-2,NA,NA,His4:CG33909,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0058045,Peak-2;NA;NA,Peak-2,NA,NA,CG40045,early,FALSE,TRUE,Syp target only,Cluster III,Higher Syp binding,High_Syp,protein_coding
FBgn0058469,Peak-2;Up-regulated;NA,Peak-2,Up-regulated,NA,lncRNA:CR40469,late,TRUE,TRUE,Co-target,Cluster V,Peak at L2 Syp,Peak_L2Syp,ncRNA
FBgn0060296,Peak-1;Fluctuating;NA,Peak-1,Fluctuating,NA,pain,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0061492,Up-regulated;Up-regulated;NA,Up-regulated,Up-regulated,NA,loj,late,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0062442,Up-regulated;NA;NA,Up-regulated,NA,NA,Cisd2,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0063127,Up-regulated;Up-regulated;Up-regulated,Up-regulated,Up-regulated,Up-regulated,lncRNA:CR33938,late,TRUE,TRUE,Co-target,Cluster III,Higher Syp binding,High_Syp,ncRNA
FBgn0063449,Peak-2;NA;Peak-1,Peak-2,NA,Peak-1,Uhg2,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0064126,Peak-1;NA;NA,Peak-1,NA,NA,CG33722,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0064225,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpL5,early,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0064227,Down-regulated;Peak-1;Down-regulated,Down-regulated,Peak-1,Down-regulated,Rdh,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0066084,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpL41,early,TRUE,TRUE,Co-target,NA,N/A,NA,NA
FBgn0082585,Up-regulated;Up-regulated;Up-regulated,Up-regulated,Up-regulated,Up-regulated,sprt,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0082831,Down-regulated;NA;NA,Down-regulated,NA,NA,pps,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0083956,Peak-1;Down-regulated;NA,Peak-1,Down-regulated,NA,CG34120,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0085342,Peak-3;NA;NA,Peak-3,NA,NA,CG34313,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0085400,Peak-1;NA;NA,Peak-1,NA,NA,side-V,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0085413,Down-regulated;Peak-1;Peak-1,Down-regulated,Peak-1,Peak-1,CG34384,early,TRUE,FALSE,Imp target only,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0085434,Down-regulated;NA;Peak-1,Down-regulated,NA,Peak-1,NaCP60E,early,TRUE,FALSE,Imp target only,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0085447,Down-regulated;NA;Peak-1,Down-regulated,NA,Peak-1,sif,early,TRUE,FALSE,Imp target only,Cluster I,Higher Imp binding,High_Imp,protein_coding
FBgn0085450,Down-regulated;Peak-1;Peak-1,Down-regulated,Peak-1,Peak-1,Snoo,early,TRUE,TRUE,Co-target,NA,N/A,NA,NA
FBgn0086355,Up-regulated;Up-regulated;Mid-peaks,Up-regulated,Up-regulated,Mid-peaks,Tpi,late,TRUE,TRUE,Co-target,Cluster V,Peak at L2 Syp,Peak_L2Syp,protein_coding
FBgn0086365,Peak-1;Down-regulated;Peak-1,Peak-1,Down-regulated,Peak-1,Orct2,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0086472,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpS25,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0086656,Peak-2;NA;NA,Peak-2,NA,NA,shrb,early,TRUE,TRUE,Co-target,NA,N/A,NA,NA
FBgn0086680,Up-regulated;NA;NA,Up-regulated,NA,NA,vvl,late,TRUE,TRUE,Co-target,NA,N/A,NA,NA
FBgn0086706,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,pix,early,TRUE,TRUE,Co-target,Cluster V,Peak at L2 Syp,Peak_L2Syp,protein_coding
FBgn0086710,Peak-2;NA;Down-regulated,Peak-2,NA,Down-regulated,RpL30,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0086758,Down-regulated;Down-regulated;Down-regulated,Down-regulated,Down-regulated,Down-regulated,chinmo,early,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0086768,Up-regulated;NA;V3-regulated,Up-regulated,NA,V3-regulated,Pcmt,late,FALSE,TRUE,Syp target only,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0087013,Up-regulated;NA;NA,Up-regulated,NA,NA,Karybeta3,late,TRUE,TRUE,Co-target,NA,N/A,NA,NA
FBgn0250791,V2-regulated;Up-regulated;NA,V2-regulated,Up-regulated,NA,alphaSnap,late,TRUE,FALSE,Imp target only,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0250816,Down-regulated;NA;Peak-1,Down-regulated,NA,Peak-1,AGO3,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0259101,Down-regulated;NA;NA,Down-regulated,NA,NA,CG42249,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0259108,Down-regulated;NA;NA,Down-regulated,NA,NA,futsch,early,TRUE,FALSE,Imp target only,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0259143,Down-regulated;Peak-1;Peak-1,Down-regulated,Peak-1,Peak-1,CG42258,early,TRUE,FALSE,Imp target only,Cluster I,Higher Imp binding,High_Imp,protein_coding
FBgn0259170,Peak-1;NA;NA,Peak-1,NA,NA,alpha-Man-Ia,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0259176,Down-regulated;NA;Peak-1,Down-regulated,NA,Peak-1,bun,early,TRUE,TRUE,Co-target,Cluster II,Higher Imp binding,High_Imp,protein_coding
FBgn0259214,Down-regulated;Down-regulated;Peak-1,Down-regulated,Down-regulated,Peak-1,PMCA,early,TRUE,TRUE,Co-target,Cluster IV,Higher Syp binding,High_Syp,protein_coding
FBgn0259224,Mid-peaks;NA;NA,Mid-peaks,NA,NA,CG42324,early,TRUE,FALSE,Imp target only,Cluster I,Higher Imp binding,High_Imp,protein_coding
FBgn0259224,Mid-peaks;NA;NA,Mid-peaks,NA,NA,CG42324,late,TRUE,FALSE,Imp target only,Cluster I,Higher Imp binding,High_Imp,protein_coding
FBgn0259237,Up-regulated;NA;NA,Up-regulated,NA,NA,CG42335,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0259678,Up-regulated;NA;Up-regulated,Up-regulated,NA,Up-regulated,sqa,late,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0259725,Down-regulated;Down-regulated;NA,Down-regulated,Down-regulated,NA,CG42379,early,FALSE,FALSE,non-target,NA,NA,NA,NA
FBgn0259726,Down-regulated;Down-regulated;NA,Down-regulated,Down-regulated,NA,CG42380,early,FALSE,FALSE,non-target,NA,NA,NA,NA
